college,reason,amount,year
Anglia Ruskin,Failure to provide marshal,15,2017
Caius,Early celebration,20,2017
Caius,(Repeated) failure to clear,30,2017
Caius,Illegal practice start,20,2017
Caius,Late marshal,5,2017
Christ's,Late to marshalling,20,2017
Christ's,Failure to organise representative for the coxes briefing,25,2017
Clare,Failure to row on upon being bumped,35,2017
Clare,Failure to clear,30,2017
Clare,Early celebration resulting in slow clearing,40,2017
Clare,Failure to seek permission to be absent from the novice cox briefing,50,2017
Corpus Christi,Failure to hold it up on bumping,45,2017
Downing,Failure to provide marshal,15,2017
Emmanuel,Holding up upon being bumped,35,2017
First and Third,Failure to organise representative for the coxes briefing,25,2017
First and Third,Dropped bung (no advantage),15,2017
First and Third,Failure to seek permission to be absent from the novice cox briefing,50,2017
Fitzwilliam,Failure to organise representative for the coxes briefing,25,2017
Fitzwilliam,Failure to provide marshal,15,2017
King's,Late to marshalling,20,2017
LMBC,Late to marshalling,20,2017
LMBC,Illegal practice start,20,2017
LMBC,Failure to row on upon being bumped,50,2017
Magdalene,Illegal practice start,20,2017
Magdalene,Late to marshalling,20,2017
Murray Edwards,Early celebration resulting in slow clearing,35,2017
Pembroke,Late to marshalling,20,2017
Pembroke,Ignoring marshals' instructions,20,2017
Pembroke,Foul and abusive language to an official,40,2017
Peterhouse,Dropped bung (no advantage),15,2017
Peterhouse,Failure to provide marshal,15,2017
Queens',Failure to seek permission to be absent from the novice cox briefing,50,2017
Queens',Failure to seek permission to be absent from the novice cox briefing,50,2017
Queens',Late marshal,5,2017
Robinson,Dangerous coxing,25,2017
Robinson,Illegal practice start,20,2017
Selwyn,Failure of representative to sign in at the coxes briefing,25,2017
Selwyn,Failure to provide marshal,15,2017
St Catharine's,Late to marshalling,20,2017
St Catharine's,Bank party impeding umpire,30,2017
St Edmund's,Failure to provide marshal,15,2017
St Edmund's,Late marshal,5,2017
Trinity Hall,Rowing into a stationary crew,50,2017
Anglia Ruskin,Failure to provide marshal second offence,30,2017
Christ's,No lifejacket at marshalling,50,2017
Christ's,No lifejacket for row home,50,2017
Christ's,Excessive bank party,30,2017
Christ's,Excessive bank party second offence,45,2017
Clare Hall,Illegal crew member,50,2017
Corpus Christi,Failure to provide marshal,15,2017
First and Third,Excessive bank party,30,2017
First and Third,Excessive bank party second offence,45,2017
First and Third,Illegal practise start,20,2017
Hughes Hall,Excessive bank party,30,2017
Hughes Hall,Very late marshal,10,2017
Jesus,Easying upon being bumped,25,2017
Jesus,Excessive bank party,30,2017
LMBC,Early celebration,20,2017
Magdalene,Early celebration,20,2017
Magdalene,Failure to provide marshal,15,2017
Pembroke,Dropped bung no advantage,15,2017
Pembroke,Dropped bung no advantage,15,2017
Peterhouse,Failure to provide marshal second offence,30,2017
Queens',Easying upon being bumped,25,2017
Robinson,Droped bung no advantage,15,2017
Robinson,Late concession,20,2017
Selwyn,Late concession,20,2017
Wolfson,Early celebration,20,2017
Clare Hall,Easying upon being bumped,25,2017
